                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0838,                 3.8925,                 4.2854,                0.00393,                0.86207,                0.01841,                0.00485,                 2.7546,                 3.9321,                 4.1584,                0.00012,                0.00012,                0.00012
                      2,                  2.905,                 3.7916,                  4.244,                0.00397,                0.87069,                 0.0195,                0.00495,                 2.7565,                 3.9289,                 4.1571,             0.00024713,             0.00024713,             0.00024713
                      3,                 2.9373,                 3.7563,                 4.2018,                0.00392,                0.86207,                0.02322,                0.00583,                  2.759,                 3.9207,                 4.1559,              0.0003604,              0.0003604,              0.0003604
                      4,                 2.9819,                 3.6142,                 4.1469,                0.00387,                0.87069,                 0.0225,                0.00499,                  2.759,                 3.9106,                 4.1544,             0.00045981,             0.00045981,             0.00045981
                      5,                 2.9256,                 3.6322,                 4.1119,                0.00373,                0.87069,                0.02004,                0.00481,                 2.7554,                  3.891,                 4.1503,             0.00054536,             0.00054536,             0.00054536
                      6,                 2.9877,                 3.6338,                 4.0385,                0.00371,                0.87069,                0.02434,                0.00589,                 2.7461,                 3.8513,                 4.1435,             0.00061705,             0.00061705,             0.00061705
                      7,                 2.9135,                 3.4785,                 3.9259,                0.00367,                0.87069,                 0.0207,                0.00512,                 2.7449,                 3.7954,                 4.1717,             0.00067488,             0.00067488,             0.00067488
                      8,                 2.7862,                 3.5421,                 3.8408,                0.00356,                0.84483,                0.01616,                0.00427,                 2.7798,                 3.8275,                 4.2342,             0.00071885,             0.00071885,             0.00071885
                      9,                 2.8365,                 3.4667,                 3.7834,                0.00361,                0.84483,                0.01501,                0.00403,                  2.805,                 3.8549,                 4.2671,             0.00074896,             0.00074896,             0.00074896
                     10,                 2.9987,                 3.4972,                  3.752,                 0.0036,                0.84483,                0.01633,                 0.0046,                 2.8067,                  3.813,                 4.2295,             0.00076521,             0.00076521,             0.00076521
                     11,                 2.5188,                 3.7584,                 3.5762,                 0.0037,                0.85345,                0.01693,                0.00453,                 2.8278,                 3.7848,                 4.2498,              0.0007676,              0.0007676,              0.0007676
                     12,                 2.4203,                 3.6673,                 3.3891,                0.00385,                0.84483,                0.01458,                0.00413,                 2.8531,                 3.8569,                 4.3504,             0.00075613,             0.00075613,             0.00075613
                     13,                  2.434,                 3.6755,                 3.3423,                0.00376,                0.84483,                0.02162,                0.00609,                 2.8048,                 3.9085,                 4.1814,              0.0007308,              0.0007308,              0.0007308
                     14,                 2.3503,                 3.6517,                 3.3094,                0.01757,                0.56897,                0.04287,                0.01592,                 2.4844,                 3.9104,                 3.4413,             0.00069161,             0.00069161,             0.00069161
                     15,                 2.3747,                 3.5446,                 3.2952,                0.01144,                0.01724,                0.02757,                0.00932,                 2.4828,                 3.7348,                 3.6456,               0.000614,               0.000614,               0.000614
                     16,                 2.2987,                 3.4926,                 3.2226,                0.09629,                0.06897,                0.05341,                0.01797,                 2.4629,                 3.6134,                 3.4631,               0.000614,               0.000614,               0.000614
                     17,                 2.3379,                 3.4321,                 3.2047,                0.17013,                0.10345,                0.08241,                0.03094,                 2.4315,                 3.5073,                 3.3325,               0.000515,               0.000515,               0.000515
                     18,                 2.3048,                 3.4485,                 3.1913,                0.22518,                 0.2931,                0.11039,                0.03765,                 2.3647,                 3.4071,                 3.1994,               0.000416,               0.000416,               0.000416
                     19,                  2.252,                 3.3159,                 3.1395,                0.22723,                0.27886,                0.13631,                0.04482,                 2.3631,                 3.3455,                 3.1727,               0.000317,               0.000317,               0.000317
                     20,                 2.3152,                 3.1905,                 3.1599,                0.28694,                0.31034,                0.23418,                0.07172,                 2.3375,                 3.2007,                 3.0735,               0.000218,               0.000218,               0.000218
